id,key,value,type 
19560532,source,tiger_import_dch_v0.6_20070829,tiger
19560532,reviewed,no,tiger
19560532,separated,no,tiger
19560532,upload_uuid,bulk_upload.pl-cc598032-5b88-4d3c-aa16-756ddefe5e64,tiger
19560771,highway,residential,regular
19560771,cfcc,A41,tiger
19560771,tlid,26889425,tiger
19560771,county,"Maury, TN",tiger
19560771,source,tiger_import_dch_v0.6_20070829,tiger
19560771,reviewed,no,tiger
19560771,separated,no,tiger
19560771,upload_uuid,bulk_upload.pl-cc598032-5b88-4d3c-aa16-756ddefe5e64,tiger
19561014,power,line,regular
19561014,voltage,161000,regular
19561014,cfcc,C20,tiger
19561014,county,"Maury, TN",tiger
19561211,highway,residential,regular
19561211,cfcc,A41,tiger
19561211,county,"Maury, TN",tiger
19561211,reviewed,no,tiger
19561424,highway,residential,regular
19561424,cfcc,A41,tiger
19561424,tlid,31818299,tiger
19561424,county,"Montgomery, TN",tiger
19561424,source,tiger_import_dch_v0.6_20070829,tiger
19561424,reviewed,no,tiger
19561424,separated,no,tiger
19561424,upload_uuid,bulk_upload.pl-57da1f58-89cf-487e-821c-e655c1bdcfb2,tiger
19561662,highway,residential,regular
19561662,cfcc,A41,tiger
19561662,tlid,26885375,tiger
19561662,county,"Maury, TN",tiger
19561662,source,tiger_import_dch_v0.6_20070829,tiger
19561662,reviewed,no,tiger
19561662,separated,no,tiger
19561662,upload_uuid,bulk_upload.pl-cc598032-5b88-4d3c-aa16-756ddefe5e64,tiger
19561915,power,line,regular
19561915,cfcc,C20,tiger
19561915,tlid,26903104:26884820:26898063:26884818:26899796:26903091,tiger
19561915,county,"Maury, TN",tiger
19561915,source,tiger_import_dch_v0.6_20070829,tiger
19561915,reviewed,no,tiger
19561915,upload_uuid,bulk_upload.pl-cc598032-5b88-4d3c-aa16-756ddefe5e64,tiger
19562185,access,private,regular
19562185,highway,service,regular
19562185,cfcc,A74,tiger
19562185,tlid,31834916,tiger
19562185,county,"Montgomery, TN",tiger
19562185,source,tiger_import_dch_v0.6_20070829,tiger
19562185,reviewed,no,tiger
19562185,upload_uuid,bulk_upload.pl-57da1f58-89cf-487e-821c-e655c1bdcfb2,tiger
19562445,name,Avra Court,regular
19562445,highway,residential,regular
19562445,cfcc,A41,tiger
19562445,county,"Maury, TN",tiger
19562445,reviewed,no,tiger
19562445,zip_left,38401,tiger
19562445,name_base,Avra,tiger
19562445,name_type,Ct,tiger
19562445,zip_right,38401,tiger
19562697,name,Taylor Road,regular
19562697,highway,residential,regular
19562697,cfcc,A41,tiger
19562697,county,"Maury, TN",tiger
19562697,reviewed,no,tiger
19562697,zip_left,38401,tiger
19562697,name_base,Taylor,tiger
19562697,name_type,Rd,tiger
19562697,zip_right,38401,tiger
19562906,name,Azalea Drive,regular
19562906,highway,residential,regular
19562906,cfcc,A41,tiger
19562906,county,"Maury, TN",tiger
19562906,reviewed,no,tiger
19562906,zip_left,38474,tiger
19562906,name_base,Azalea,tiger
19562906,name_type,Dr,tiger
19562906,zip_right,38474,tiger
19563172,name,Shipman Creek Road,regular
19563172,highway,residential,regular
19563172,cfcc,A41,tiger
19563172,county,"Moore, TN",tiger
19563172,reviewed,no,tiger
19563172,zip_left,37183,tiger
19563172,name_base,Shipman Creek,tiger
19563172,name_type,Rd,tiger
19563172,zip_right,37183,tiger
19563517,name,Teal Drive,regular
19563517,highway,residential,regular
19563517,cfcc,A41,tiger
19563517,tlid,31830521:31831335,tiger
19563517,county,"Montgomery, TN",tiger
19563517,source,tiger_import_dch_v0.6_20070829,tiger
19563517,reviewed,no,tiger
19563517,zip_left,37042,tiger
19563517,name_base,Teal,tiger
19563517,name_type,Dr,tiger
19563517,separated,no,tiger
19563517,zip_right,37042,tiger
19563517,upload_uuid,bulk_upload.pl-57da1f58-89cf-487e-821c-e655c1bdcfb2,tiger
19563872,railway,rail,regular
19563872,service,spur,regular
19563872,cfcc,B21,tiger
19563872,tlid,26903021,tiger
19563872,county,"Maury, TN",tiger
19563872,source,tiger_import_dch_v0.6_20070829,tiger
19563872,reviewed,no,tiger
19563872,name_base,Seaboard System Railroad,tiger
19563872,upload_uuid,bulk_upload.pl-cc598032-5b88-4d3c-aa16-756ddefe5e64,tiger
19564134,name,Sheriff Drive,regular
19564134,highway,residential,regular
19564134,cfcc,A41,tiger
19564134,county,"Montgomery, TN",tiger
19564134,reviewed,no,tiger
19564134,zip_left,37042,tiger
19564134,name_base,Sheriff,tiger
19564134,name_type,Dr,tiger
19564134,zip_right,37042,tiger
19564405,name,Low Gap Road,regular
19564405,highway,track,regular
19564405,railway,abandoned,regular
19564405,cfcc,A51,tiger
19564405,county,"Maury, TN",tiger
19564405,reviewed,no,tiger
19564405,name_base,Low Gap,tiger
19564405,name_type,Rd,tiger
19564405,old_railway_operator,L&N,regular
19564405,old_railway_operator,Swan Creek,note
19564657,name,Ardmoor Drive,regular
19564657,highway,residential,regular
19564657,cfcc,A41,tiger
19564657,county,"Montgomery, TN",tiger
19564657,reviewed,no,tiger
19564657,zip_left,37043,tiger
19564657,name_base,Ardmoor,tiger
19564657,name_type,Dr,tiger
19564657,zip_right,37043,tiger
19564927,name,Caleb Drive,regular
19564927,highway,residential,regular
19564927,cfcc,A41,tiger
19564927,county,"Maury, TN",tiger
19564927,reviewed,no,tiger
19564927,zip_left,37174,tiger
19564927,name_base,Caleb,tiger
19564927,name_type,Dr,tiger
19565200,ref,SR 149,regular
19565200,highway,primary,regular
19565200,cfcc,A31,tiger
19565200,county,"Montgomery, TN:Stewart, TN",tiger
19565200,reviewed,no,tiger
19565200,zip_left,37050,tiger
19565200,name_base,State Highway 149,tiger
19565200,zip_right,37050,tiger
19565444,name,Lakewood Drive,regular
19565444,highway,residential,regular
19565444,cfcc,A41,tiger
19565444,county,"Montgomery, TN",tiger
19565444,reviewed,no,tiger
19565444,name_base,Lakewood,tiger
19565444,name_type,Dr,tiger
19565695,name,East Valley Drive,regular
19565695,highway,residential,regular
19565695,cfcc,A41,tiger
19565695,county,"Maury, TN",tiger
19565695,reviewed,no,tiger
19565695,zip_left,38401,tiger
19565695,name_base,East Valley,tiger
19565695,name_type,Dr,tiger
19565695,zip_right,38401,tiger
19565913,name,Sugar Creek Lane,regular
19565913,highway,residential,regular
19565913,cfcc,A41,tiger
19565913,county,"Maury, TN",tiger
19565913,reviewed,no,tiger
19565913,name_base,Sugar Creek,tiger
19565913,name_type,Ln,tiger
19566239,HFCS,Rural Minor Collector,regular
19566239,name,Seavy Hight Road,regular
19566239,highway,tertiary,regular
19566239,cfcc,A41,tiger
19566239,county,"Maury, TN",tiger
19566239,reviewed,no,tiger
19566239,name_base,Seavy Hight,tiger
19566239,name_type,Rd,tiger
19566486,name,Greenfield Lane,regular
19566486,highway,residential,regular
19566486,cfcc,A41,tiger
19566486,county,"Maury, TN",tiger
19566486,reviewed,no,tiger
19566486,zip_left,38451,tiger
19566486,name_base,Greenfield,tiger
19566486,name_type,Ln,tiger
19566486,zip_right,38451,tiger
19566741,name,Stepp Road,regular
19566741,highway,residential,regular
19566741,cfcc,A41,tiger
19566741,county,"Montgomery, TN",tiger
19566741,reviewed,no,tiger
19566741,zip_left,37191,tiger
19566741,name_base,Stepp,tiger
19566741,name_type,Rd,tiger
19566741,zip_right,37191,tiger
19566976,name,Ernest Street,regular
19566976,highway,residential,regular
19566976,cfcc,A41,tiger
19566976,county,"Montgomery, TN",tiger
19566976,reviewed,no,tiger
19566976,zip_left,37040,tiger
19566976,name_base,Ernest,tiger
19566976,name_type,St,tiger
19566976,zip_right,37040,tiger
19567174,name,Jackie Lorraine Drive,regular
19567174,highway,residential,regular
19567389,name,Mississippi Avenue,regular
19567389,highway,residential,regular
19567389,cfcc,A41,tiger
19567389,county,"Montgomery, TN",tiger
19567389,reviewed,yes,tiger
19567389,name_base,Mississippi,tiger
19567389,name_type,Ave,tiger
19567596,highway,residential,regular
19567596,name,Raleigh-Elam Road,regular
19567596,cfcc,A41,tiger
19567596,county,"Maury, TN",tiger
19567596,name_base,Raleigh-Elam,tiger
19567596,name_type,Rd,tiger
19567596,reviewed,no,tiger
19567825,name,Turtle Creek Court,regular
19567825,highway,residential,regular
19567825,cfcc,A41,tiger
19567825,county,"Montgomery, TN",tiger
19567825,reviewed,no,tiger
19567825,zip_left,37043,tiger
19567825,name_base,Turtle Creek,tiger
19567825,name_type,Ct,tiger
19567825,zip_right,37043,tiger
19568114,lit,yes,regular
19568114,name,Orman Drive,regular
19568114,lanes,2,regular
19568114,highway,residential,regular
19568114,maxspeed,20 mph,regular
19568114,cfcc,A41,tiger
19568114,county,"Montgomery, TN",tiger
19568114,forward,1,lanes
19568114,backward,1,lanes
19568114,reviewed,yes,tiger
19568114,zip_left,37042,tiger
19568114,name_base,Orman,tiger
19568114,name_type,Dr,tiger
19568114,zip_right,37042,tiger
19568331,name,Lawrence Street,regular
19568331,highway,residential,regular
19568331,cfcc,A41,tiger
19568331,county,"Maury, TN",tiger
19568331,reviewed,no,tiger
19568331,zip_left,38401,tiger
19568331,name_base,Lawrence,tiger
19568331,name_type,St,tiger
19568331,zip_right,38401,tiger
19568530,name,Iris Lane,regular
19568530,highway,residential,regular
19568530,cfcc,A41,tiger
19568530,county,"Montgomery, TN",tiger
19568530,reviewed,no,tiger
19568530,zip_left,37042,tiger
19568530,name_base,Iris,tiger
19568530,name_type,Ln,tiger
19568530,zip_right,37042,tiger
19568753,name,Nowlin Court,regular
19568753,highway,residential,regular
19568753,cfcc,A41,tiger
19568753,county,"Maury, TN",tiger
19568753,reviewed,no,tiger
19568753,zip_left,38401,tiger
19568753,name_base,Nowlin,tiger
19568753,name_type,Ct,tiger
19568753,zip_right,38401,tiger
19568986,name,Georgia Avenue,regular
19568986,highway,residential,regular
19568986,cfcc,A41,tiger
19568986,county,"Montgomery, TN",tiger
19568986,reviewed,no,tiger
19568986,zip_left,42223,tiger
19568986,name_base,Georgia,tiger
19568986,name_type,Ave,tiger
19568986,zip_right,42223,tiger
19569211,name,Parkview Drive,regular
19569211,highway,residential,regular
