id,lat,lon,user,uid,version,changeset,timestamp
53676966,36.064305,-87.508082,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:27Z
53677154,36.165976,-87.33849,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:48Z
53677358,35.970186,-87.220271,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:48:54Z
53677606,36.199927,-87.258742,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:49:01Z
53677827,36.14711,-87.307031,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:49:06Z
53678030,36.059118,-87.458637,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:49:12Z
53678255,35.9764532,-87.3208812,bdiscoe,402624,3,21309359,2014-03-25T17:39:36Z
53678457,36.0524247,-87.3108591,CynicalDooDad,1505651,4,26203891,2014-10-19T23:58:57Z
53678685,36.1167522,-87.2264228,AndrewSnow,371121,3,24212914,2014-07-18T03:20:09Z
53678890,36.16786,-87.428233,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:49:34Z
53679151,36.1319668,-87.2738953,KristenK,1494110,3,22317132,2014-05-13T16:47:43Z
53679340,36.0822547,-87.3572225,Timothy Smith,115918,3,28410898,2015-01-26T06:07:22Z
53679586,36.1042993,-87.2008829,AndrewSnow,371121,3,24212914,2014-07-18T03:20:10Z
53679911,36.1046231,-87.1865023,CynicalDooDad,1505651,3,26563068,2014-11-05T04:10:05Z
53680108,36.2694603,-87.2141497,raubraupe,1193827,3,21443431,2014-04-01T17:26:50Z
53680300,36.0795763,-87.4004716,dr ingrid,1901542,4,25916940,2014-10-07T13:30:05Z
53680498,36.170255,-87.423329,Spanholz,2209894,3,43889075,2016-11-23T08:02:38Z
53680715,36.214317,-87.532985,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:50:19Z
53680896,36.0904007,-87.482527,gcjunge,775666,3,13229460,2012-09-24T06:52:28Z
53681091,36.049473,-87.431946,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:50:45Z
53681283,36.143764,-87.461623,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:50:49Z
53681473,36.164554,-87.218938,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:50:55Z
53681692,36.115282,-87.382359,Spanholz,2209894,3,43888823,2016-11-23T07:45:20Z
53681954,36.0932308,-87.3814884,brogo,63107,3,26051816,2014-10-13T15:59:10Z
53682205,36.124812,-87.490863,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:15Z
53682395,36.149924,-87.534647,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:20Z
53682617,36.058294,-87.310395,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:26Z
53682873,36.269072,-87.23751,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:32Z
53683173,36.268195,-87.457561,Spanholz,2209894,3,43889075,2016-11-23T08:02:44Z
53683456,36.284633,-87.444977,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:46Z
53683679,36.118589,-87.196849,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:51:51Z
53683873,36.0301384,-87.3809039,xDraconian,2694586,3,29053675,2015-02-23T20:33:24Z
53684099,36.016835,-87.237146,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:52:02Z
53684313,36.1307178,-87.3361792,Spanholz,2209894,3,43888823,2016-11-23T07:45:21Z
53684574,36.233342,-87.352843,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:52:14Z
53684767,36.162587,-87.287827,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:52:34Z
53685012,36.149953,-87.399902,Spanholz,2209894,3,43888823,2016-11-23T07:45:24Z
53685404,36.235937,-87.445341,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:52:49Z
53685606,36.152826,-87.484836,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:52:55Z
53685832,35.9962152,-87.4901629,Lambertus,6424,3,7796751,2011-04-07T17:50:43Z
53686053,36.193497,-87.479718,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:53:07Z
53686254,36.0588893,-87.3711665,gcjunge,775666,3,13229460,2012-09-24T06:52:30Z
53686490,36.0151297,-87.3184233,Lambertus,6424,3,7797893,2011-04-07T19:43:51Z
53686729,36.2781774,-87.3573861,maxugglan,107681,3,24062511,2014-07-10T12:04:07Z
53687000,36.25353,-87.21968,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:53:33Z
53687225,36.186766,-87.273044,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:53:40Z
53687405,36.247491,-87.237516,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:53:45Z
53687793,36.1246143,-87.2719261,KristenK,1494110,3,22317132,2014-05-13T16:47:43Z
53687998,36.1032476,-87.2128023,AndrewSnow,371121,3,24212914,2014-07-18T03:20:11Z
53688185,36.154901,-87.33466,Spanholz,2209894,3,43888823,2016-11-23T07:45:21Z
53688391,35.97013,-87.251407,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:54:15Z
53688603,36.011734,-87.278264,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:54:20Z
53688827,36.0908784,-87.2357473,AndrewSnow,371121,3,24212914,2014-07-18T03:20:12Z
53689021,36.0453574,-87.3490448,MikeN,135163,3,37020301,2016-02-05T14:00:51Z
53689260,36.090831,-87.281051,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:54:54Z
53689417,36.1592,-87.431193,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:54:59Z
53689599,36.2698619,-87.2802769,calfarome,2511706,3,41624665,2016-08-22T21:12:32Z
53689835,36.153034,-87.341297,Spanholz,2209894,3,43888823,2016-11-23T07:45:22Z
53690053,36.0780943,-87.2648021,mvexel,8909,4,43740917,2016-11-17T19:22:31Z
53690310,36.097773,-87.323881,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:55:22Z
53690513,36.0704459,-87.3907682,dr ingrid,1901542,3,25916940,2014-10-07T13:30:08Z
53690758,35.999665,-87.516695,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:55:32Z
53691002,35.989815,-87.432443,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:55:37Z
53691222,36.218782,-87.28145,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:55:42Z
53691485,36.120486,-87.46729,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:55:48Z
53691782,36.0756274,-87.3454641,CynicalDooDad,1505651,3,26678282,2014-11-10T00:47:19Z
53692007,36.108442,-87.2814369,brogo,63107,3,26051816,2014-10-13T15:59:14Z
53692560,36.287274,-87.411034,calfarome,2511706,3,29433057,2015-03-12T19:17:42Z
53692808,36.232716,-87.441364,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:56:20Z
53693056,36.0256342,-87.4101057,xDraconian,2694586,3,29034882,2015-02-23T02:04:08Z
53693309,36.091416,-87.377416,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:56:50Z
53693620,36.05534,-87.449244,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:56:57Z
53693921,36.279801,-87.319352,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:06Z
53694145,36.1220161,-87.289934,KristenK,1494110,3,22317132,2014-05-13T16:47:44Z
53694357,36.22608,-87.263613,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:19Z
53694635,36.159533,-87.260689,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:27Z
53694867,36.10773,-87.529302,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:33Z
53695108,36.324814,-87.479137,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:40Z
53695329,36.261756,-87.184055,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:57:47Z
53695611,36.231784,-87.429345,Spanholz,2209894,3,43889075,2016-11-23T08:02:41Z
53695854,36.1376903,-87.2545367,KristenK,1494110,3,22317132,2014-05-13T16:47:44Z
53696079,36.150806,-87.244542,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:58:08Z
53696263,36.038465,-87.500647,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:58:14Z
53696486,36.041866,-87.358583,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:58:21Z
53696796,36.183197,-87.206149,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:58:29Z
53696978,36.29207,-87.444945,woodpeck_fixbot,147510,2,3129938,2009-11-16T08:58:36Z
